model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.2093,0.7858,25.9689,0.0318,,,,
SR_EDSR_2x_16_64,1369859,0.1633,0.7916,25.8766,0.0311,,,,
SR_EDSR_2x_1_128,1040131,0.1795,0.7908,25.9575,0.0312,,,,
SR_EDSR_2x_1_256,4144643,0.1796,0.7902,25.9304,0.0313,,,,
SR_EDSR_2x_1_32,66499,0.2135,0.7880,26.0091,0.0316,,,,
SR_EDSR_2x_2_128,1335299,0.1690,0.7912,25.9068,0.0312,,,,
SR_EDSR_2x_2_256,5324803,0.1630,0.7908,25.8748,0.0312,,,,
SR_EDSR_2x_2_32,84995,0.1920,0.7899,26.0006,0.0314,,,,
SR_EDSR_2x_2_48,189699,0.1811,0.7911,25.9742,0.0313,,,,
SR_EDSR_2x_2_52,222355,0.1795,0.7903,25.9478,0.0314,,,,
SR_EDSR_2x_2_96,752643,0.1712,0.7919,25.9374,0.0312,,,,
SR_EDSR_2x_32_256_r,40729603,0.1538,0.7917,25.8255,0.0312,,,,
SR_EDSR_2x_4_256,7685123,0.1605,0.7922,25.8871,0.0311,,,,
SR_EDSR_2x_4_32,121987,0.1812,0.7893,25.9432,0.0314,,,,
SR_EDSR_2x_4_52,319907,0.1711,0.7907,25.9324,0.0312,,,,
SR_EDSR_2x_6_12,22899,0.2152,0.7844,25.9701,0.0319,,,,
SR_FastEDSR_2x_1_128,312588,0.1797,0.7900,25.9461,0.0313,,,,
SR_FastEDSR_2x_1_16,6828,0.2102,0.7874,26.0012,0.0316,,,,
SR_FastEDSR_2x_1_32,22860,0.2008,0.7880,26.0040,0.0315,,,,
SR_FastEDSR_2x_1_4,852,0.2035,0.7846,25.9737,0.0318,,,,
SR_FastEDSR_2x_1_64,82572,0.1859,0.7893,25.9672,0.0313,,,,
SR_FastEDSR_2x_1_8,2268,0.2114,0.7861,25.9752,0.0317,,,,
SR_FastEDSR_2x_2_128,607756,0.1635,0.7907,25.8746,0.0312,,,,
SR_FastEDSR_2x_2_16,11468,0.2067,0.7881,26.0005,0.0316,,,,
SR_FastEDSR_2x_2_32,41356,0.1849,0.7901,25.9741,0.0313,,,,
SR_FastEDSR_2x_2_4,1148,0.2127,0.7862,25.9923,0.0317,,,,
SR_FastEDSR_2x_2_64,156428,0.1725,0.7908,25.9317,0.0312,,,,
SR_FastEDSR_2x_2_8,3436,0.2095,0.7867,25.9946,0.0316,,,,
SR_FastEDSR_2x_4_128,1198092,0.1618,0.7921,25.9001,0.0311,,,,
SR_FastEDSR_2x_4_16,20748,0.1892,0.7900,25.9950,0.0313,,,,
SR_FastEDSR_2x_4_32,78348,0.1740,0.7907,25.9388,0.0313,,,,
SR_FastEDSR_2x_4_64,304140,0.1651,0.7908,25.8736,0.0313,,,,
SR_FastEDSR_2x_4_8,5772,0.1987,0.7889,26.0174,0.0314,,,,
SR_FastEDSR_2x_8_16,39308,0.1750,0.7892,25.9307,0.0314,,,,
SR_IMDN_2x_1_128,596916,0.1680,0.7915,25.9052,0.0312,,,,
SR_IMDN_2x_1_256,2350940,0.1604,0.7916,25.8846,0.0311,,,,
SR_IMDN_2x_1_48,88251,0.2027,0.7888,26.0095,0.0315,,,,
SR_IMDN_2x_1_64,153824,0.1778,0.7906,25.9670,0.0313,,,,
SR_IMDN_2x_1_96,339210,0.1665,0.7915,25.9257,0.0312,,,,
SR_IMDN_2x_2_128,1028700,0.1619,0.7924,25.9075,0.0311,,,,
SR_IMDN_2x_2_48,149130,0.1853,0.7902,25.9927,0.0313,,,,
SR_IMDN_2x_2_96,582216,0.1653,0.7922,25.9246,0.0311,,,,
SR_IMDN_2x_4_16,31808,0.2067,0.7838,25.9488,0.0320,,,,
SR_IMDN_2x_4_256,7528268,0.1537,0.7922,25.8675,0.0311,,,,
SR_IMDN_2x_4_52,317120,0.1747,0.7907,25.9451,0.0313,,,,
SR_IMDN_2x_5_16,38629,0.2096,0.7841,25.9528,0.0319,,,,
SR_IMDN_2x_6_64,694404,0.1664,0.7912,25.9153,0.0312,,,,
SR_RFDN_2x_1_128,802124,0.1604,0.7903,25.8317,0.0313,,,,
SR_RFDN_2x_1_256,3170956,0.1582,0.7921,25.8779,0.0311,,,,
SR_RFDN_2x_1_4,1363,0.1683,0.7707,25.8194,0.0324,,,,
SR_RFDN_2x_1_48,117204,0.1778,0.7894,25.9517,0.0314,,,,
SR_RFDN_2x_1_64,205228,0.1715,0.7921,25.9588,0.0312,,,,
SR_RFDN_2x_1_96,454716,0.1669,0.7908,25.9009,0.0312,,,,
SR_RFDN_2x_2_128,1439116,0.1568,0.7910,25.8523,0.0312,,,,
SR_RFDN_2x_2_16,24668,0.2124,0.7854,25.9802,0.0318,,,,
SR_RFDN_2x_2_256,5716748,0.1571,0.7923,25.8700,0.0311,,,,
SR_RFDN_2x_2_256_GAN,5716748,0.0714,0.7516,25.0803,0.0355,,,,
SR_RFDN_2x_2_48,207036,0.1719,0.7905,25.9430,0.0313,,,,
SR_RFDN_2x_2_52,242306,0.1722,0.7900,25.9289,0.0313,,,,
SR_RFDN_2x_2_64,364748,0.1713,0.7911,25.9264,0.0312,,,,
SR_RFDN_2x_2_96,813228,0.1613,0.7900,25.8424,0.0313,,,,
SR_RFDN_2x_4_128,2713100,0.1556,0.7930,25.8878,0.0310,,,,
SR_RFDN_2x_4_16,44812,0.2052,0.7835,25.9399,0.0319,,,,
SR_RFDN_2x_4_256,10808332,0.1578,0.7933,25.8880,0.0310,,,,
SR_RFDN_2x_4_48,386700,0.1687,0.7917,25.9362,0.0312,,,,
SR_RFDN_2x_4_52,453088,0.1643,0.7914,25.9113,0.0312,,,,
SR_RFDN_2x_4_96,1530252,0.1573,0.7911,25.8497,0.0312,,,,
SR_RFDN_2x_6_48,566364,0.1679,0.7912,25.9210,0.0313,,,,
SR_RFDN_2x_6_52,663870,0.1633,0.7914,25.8891,0.0312,,,,
SR_RFDN_2x_6_64,1002828,0.1612,0.7920,25.8827,0.0311,,,,
SR_SRCNN_2x,20099,0.2069,0.7876,25.9712,0.0315,,,,
SR_VDSR_2x_18_64,668227,0.1628,0.7902,25.8594,0.0312,,,,
SR_EDSR_2_52,832055,0.1728,0.7899,25.9220,0.0313,,,,
SR_EDSR_4_52,929607,0.1667,0.7914,25.9075,0.0312,,,,
SR_FastEDSR_2_128,694231,0.1638,0.7914,25.9032,0.0312,,,,
SR_FastEDSR_2_16,22343,0.2017,0.7880,25.9789,0.0316,,,,
SR_FastEDSR_2_32,63031,0.1774,0.7900,25.9454,0.0314,,,,
SR_FastEDSR_2_4,3923,0.2142,0.7853,25.9771,0.0318,,,,
SR_FastEDSR_2_64,199703,0.1695,0.7907,25.9121,0.0313,,,,
SR_FastEDSR_2_8,8911,0.2137,0.7854,25.9658,0.0318,,,,
SR_FastEDSR_4_128,1284567,0.1604,0.7914,25.8755,0.0312,,,,
SR_FastEDSR_4_16,31623,0.1814,0.7895,25.9517,0.0314,,,,
SR_FastEDSR_4_32,100023,0.1718,0.7913,25.9266,0.0313,,,,
SR_FastEDSR_4_64,347415,0.1614,0.7911,25.8852,0.0312,,,,
SR_FastEDSR_4_8,11247,0.2079,0.7878,25.9805,0.0316,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.2503,0.7675,25.7841,0.0325,,,,
SR_FastEDSR_jpeg_2_64,199703,0.2690,0.7588,25.8251,0.0326,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.2586,0.7674,25.9094,0.0322,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.2232,0.7757,25.8582,0.0319,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.2072,0.7777,25.2784,0.0334,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.2094,0.7771,25.8299,0.0319,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.1495,0.6924,23.3859,0.0456,,,,
SR_FastEDSR_jpeg_4_32,100023,0.2736,0.7562,25.8452,0.0326,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.2574,0.7647,25.4423,0.0334,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.2452,0.7681,25.4057,0.0335,,,,
