model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
nearest,0,0.1558,0.8727,29.2510,0.0207,10411.84,158,10515.73,68
bilinear,0,0.2291,0.8687,29.9441,0.0201,2346.03,110,6660.80,40
bicubic,0,0.1863,0.8931,31.0451,0.0180,1474.68,110,4542.88,40
lanczos,0,0.2057,0.9009,31.5097,0.0173,,,,
SR_RFDN_2x_1_48,117204,0.1114,0.9234,33.0710,0.0148,39.78,1442,109.48,518
SR_RFDN_2x_2_48,207036,0.1069,0.9254,33.2896,0.0145,22.76,1362,62.60,534
SR_RFDN_2x_2_52,242306,0.1077,0.9261,33.3528,0.0144,18.98,1560,52.11,582
SR_RFDN_2x_4_48,386700,0.1032,0.9276,33.5090,0.0142,12.28,2464,33.44,916
SR_RFDN_2x_4_52,453088,0.1014,0.9290,33.6645,0.0139,10.11,2658,27.82,996
SR_RFDN_2x_4_16,44812,0.1375,0.9108,31.9386,0.0167,44.57,832,153.62,306
SR_RFDN_2x_6_64,1002828,0.1004,0.9313,33.9157,0.0135,6.34,4376,11.44,2070
SR_IMDN_2x_1_48,88251,0.1313,0.9191,32.6394,0.0156,40.11,1326,114.40,440
SR_IMDN_2x_2_48,149130,0.1166,0.9226,32.9968,0.0150,23.20,1834,66.01,632
SR_IMDN_2x_4_16,31808,0.1386,0.9116,31.9782,0.0167,49.59,868,234.89,356
SR_IMDN_2x_5_16,38629,0.1408,0.9120,32.0315,0.0166,40.45,986,189.96,354
SR_IMDN_2x_4_52,317120,0.1081,0.9259,33.3367,0.0144,9.34,2708,26.11,1018
SR_IMDN_2x_6_64,694404,0.1018,0.9289,33.6485,0.0139,7.95,4216,19.31,1534
SR_CustomERN_2x_b2_w0.5,69388,0.1384,0.9153,32.3410,0.0161,67.61,768,184.60,370
SR_CustomERN_2x_b2_w0.75,150156,0.1207,0.9206,32.8159,0.0152,36.40,1272,99.12,408
SR_CustomERN_2x_b1_w1,142796,0.1184,0.9211,32.8289,0.0153,45.50,1670,122.00,534
SR_CustomERN_2x_b2_w1,261644,0.1102,0.9247,33.2152,0.0146,27.58,1670,73.60,710
SR_CustomERN_2x_b3_w1,380492,0.1045,0.9261,33.3554,0.0144,19.77,1672,52.71,710
SR_CustomERN_2x_b4_w1,499340,0.1051,0.9269,33.4450,0.0143,15.41,1674,41.07,712
SR_CustomERN_2x_b2_w2,1014796,0.1015,0.9291,33.6659,0.0139,10.53,3246,27.80,1214
SR_CustomERN_2x_b3_w2,1490060,0.0999,0.9300,33.7667,0.0138,6.82,3290,18.19,1738
SR_CustomERN_2x_b2_w3,2259468,0.0991,0.9306,33.8282,0.0137,4.67,6850,12.34,2798
SR_EDSR_2x_6_12,22899,0.1457,0.9128,32.1032,0.0165,99.67,418,347.25,166
SR_EDSR_2x_2_48,189699,0.1135,0.9245,33.1840,0.0147,33.59,1558,90.92,532
SR_EDSR_2x_2_52,222355,0.1116,0.9249,33.1785,0.0148,28.63,1684,77.12,578
SR_EDSR_2x_4_52,319907,0.1064,0.9274,33.5037,0.0142,20.00,2446,54.86,926
SR_EDSR_2x_16_64,1369859,0.0981,0.9326,34.0548,0.0133,6.21,2004,16.69,710
SR_RFDN_2x_4_128,2713100,0.0943,0.9341,34.2414,0.0131,3.62,6516,7.30,3428
SR_EDSR_2x_2_96,752643,0.1061,0.9278,33.5456,0.0141,12.82,4452,34.24,1170
SR_RFDN_2x_2_96,813228,0.0996,0.9312,33.8807,0.0136,9.77,2756,17.94,1754
SR_RFDN_2x_4_96,1530252,0.0967,0.9327,34.0755,0.0133,5.09,4866,9.66,2584
SR_RFDN_2x_1_128,802124,0.0993,0.9304,33.7993,0.0137,11.91,3808,24.01,2338
SR_RFDN_2x_1_96,454716,0.1064,0.9287,33.6186,0.0140,17.10,2858,31.42,1768
SR_EDSR_2x_1_128,1040131,0.1123,0.9248,33.2211,0.0146,10.44,5910,28.05,1548
SR_EDSR_2x_2_128,1335299,0.1037,0.9292,33.6633,0.0139,8.25,8194,22.26,2400
SR_RFDN_2x_1_64,205228,0.1080,0.9260,33.3454,0.0144,30.04,1916,54.48,1152
SR_RFDN_2x_2_16_best,24668,0.1431,0.9123,32.0624,0.0165,77.53,480,250.20,210
