model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_2_64,199703,0.2217,0.8360,29.3548,0.0234,,,,
SR_FastEDSR_4_64,347415,0.2157,0.8357,29.3470,0.0234,,,,
SR_FastEDSR_4_128,1284567,0.2177,0.8359,29.3611,0.0233,,,,
SR_FastEDSR_4_256,4928343,0.2242,0.8369,29.3806,0.0233,,,,
SR_FastEDSR_jpeg_2_64,199703,0.2440,0.8533,30.0915,0.0210,,,,
SR_FastEDSR_jpeg_4_64,347415,0.2376,0.8579,30.2918,0.0205,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.2326,0.8625,30.4981,0.0201,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.2278,0.8646,30.5989,0.0199,,,,
SR_RFDN_4_256,10981207,0.2240,0.8363,29.3683,0.0233,,,,
SR_RFDN_4_128,2799575,0.2234,0.8370,29.3851,0.0233,,,,
SR_RFDN_jpeg_4_128,2799575,0.2435,0.8543,29.7461,0.0219,,,,
nearest,0,0.2598,0.8064,27.7915,0.0266,,,,
bilinear,0,0.3164,0.8217,28.5419,0.0247,,,,
bicubic,0,0.2866,0.8328,29.0156,0.0238,,,,
lanczos,0,0.3018,0.8353,29.1612,0.0236,,,,
SR_FastEDSR_4_32,100023,0.2225,0.8359,29.3530,0.0234,,,,
SR_FastEDSR_jpeg_4_32,100023,0.2471,0.8511,30.0529,0.0211,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.2376,0.8565,29.8528,0.0214,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.2286,0.8610,29.9604,0.0211,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.2266,0.8646,30.1022,0.0208,,,,
