model_name,params,runtype,720p,480p,720p (128x128),480p (128x128),720p (256x256),480p (256x256)
SR_EDSR_2x_0_32,48003,tensorrt,,218.68,,,,
SR_EDSR_2x_16_64,1369859,tensorrt,,22.66,,,,
SR_EDSR_2x_1_128,1040131,tensorrt,,26.22,,,,
SR_EDSR_2x_1_256,4144643,tensorrt,,8.38,,,,
SR_EDSR_2x_1_32,66499,tensorrt,,189.33,,,,
SR_EDSR_2x_2_128,1335299,tensorrt,,22.90,,,,
SR_EDSR_2x_2_256,5324803,tensorrt,,6.66,,,,
SR_EDSR_2x_2_32,84995,tensorrt,,173.33,,,,
SR_EDSR_2x_2_48,189699,tensorrt,,98.41,,,,
SR_EDSR_2x_2_52,222355,tensorrt,,79.11,,,,
SR_EDSR_2x_2_96,752643,tensorrt,,36.33,,,,
SR_EDSR_2x_32_256_r,40729603,tensorrt,,0.97,,,,
SR_EDSR_2x_4_256,7685123,tensorrt,,4.76,,,,
SR_EDSR_2x_4_32,121987,tensorrt,,144.23,,,,
SR_EDSR_2x_4_52,319907,tensorrt,,59.56,,,,
SR_EDSR_2x_6_12,22899,tensorrt,,295.16,,,,
SR_FastEDSR_2x_1_128,312588,tensorrt,,96.32,,,,
SR_FastEDSR_2x_1_16,6828,tensorrt,,492.65,,,,
SR_FastEDSR_2x_1_32,22860,tensorrt,,394.60,,,,
SR_FastEDSR_2x_1_4,852,tensorrt,,550.18,,,,
SR_FastEDSR_2x_1_64,82572,tensorrt,,235.26,,,,
SR_FastEDSR_2x_1_8,2268,tensorrt,,495.30,,,,
SR_FastEDSR_2x_2_128,607756,tensorrt,,53.02,,,,
SR_FastEDSR_2x_2_16,11468,tensorrt,,406.02,,,,
SR_FastEDSR_2x_2_32,41356,tensorrt,,316.28,,,,
SR_FastEDSR_2x_2_4,1148,tensorrt,,525.48,,,,
SR_FastEDSR_2x_2_64,156428,tensorrt,,157.42,,,,
SR_FastEDSR_2x_2_8,3436,tensorrt,,478.26,,,,
SR_FastEDSR_2x_4_128,1198092,tensorrt,,28.43,,,,
SR_FastEDSR_2x_4_16,20748,tensorrt,,360.45,,,,
SR_FastEDSR_2x_4_32,78348,tensorrt,,217.41,,,,
SR_FastEDSR_2x_4_64,304140,tensorrt,,86.69,,,,
SR_FastEDSR_2x_4_8,5772,tensorrt,,430.24,,,,
SR_FastEDSR_2x_8_16,39308,tensorrt,,264.05,,,,
SR_IMDN_2x_1_128,596916,tensorrt,,33.46,,,,
SR_IMDN_2x_1_256,2350940,tensorrt,,12.00,,,,
SR_IMDN_2x_1_48,88251,tensorrt,,111.90,,,,
SR_IMDN_2x_1_64,153824,tensorrt,,90.09,,,,
SR_IMDN_2x_1_96,339210,tensorrt,,50.42,,,,
SR_IMDN_2x_2_128,1028700,tensorrt,,20.67,,,,
SR_IMDN_2x_2_48,149130,tensorrt,,65.11,,,,
SR_IMDN_2x_2_96,582216,tensorrt,,29.43,,,,
SR_IMDN_2x_4_16,31808,tensorrt,,139.61,,,,
SR_IMDN_2x_4_256,7528268,tensorrt,,3.67,,,,
SR_IMDN_2x_4_52,317120,tensorrt,,30.92,,,,
SR_IMDN_2x_5_16,38629,tensorrt,,119.63,,,,
SR_IMDN_2x_6_64,694404,tensorrt,,20.54,,,,
SR_RFDN_2x_1_128,802124,tensorrt,,31.45,,,,
SR_RFDN_2x_1_256,3170956,tensorrt,,10.34,,,,
SR_RFDN_2x_1_4,1363,tensorrt,,425.94,,,,
SR_RFDN_2x_1_48,117204,tensorrt,,61.04,,,,
SR_RFDN_2x_1_64,205228,tensorrt,,76.83,,,,
SR_RFDN_2x_1_96,454716,tensorrt,,43.35,,,,
SR_RFDN_2x_2_128,1439116,tensorrt,,17.89,,,,
SR_RFDN_2x_2_16,24668,tensorrt,,187.26,,,,
SR_RFDN_2x_2_256,5716748,tensorrt,,5.72,,,,
SR_RFDN_2x_2_256_GAN,5716748,tensorrt,,5.84,,,,
SR_RFDN_2x_2_48,207036,tensorrt,,58.37,,,,
SR_RFDN_2x_2_52,242306,tensorrt,,39.40,,,,
SR_RFDN_2x_2_64,364748,tensorrt,,44.67,,,,
SR_RFDN_2x_2_96,813228,tensorrt,,25.10,,,,
SR_RFDN_2x_4_128,2713100,tensorrt,,9.73,,,,
SR_RFDN_2x_4_16,44812,tensorrt,,126.66,,,,
SR_RFDN_2x_4_256,10808332,tensorrt,,3.12,,,,
SR_RFDN_2x_4_48,386700,tensorrt,,32.80,,,,
SR_RFDN_2x_4_52,453088,tensorrt,,21.97,,,,
SR_RFDN_2x_4_96,1530252,tensorrt,,13.49,,,,
SR_RFDN_2x_6_48,566364,tensorrt,,22.66,,,,
SR_RFDN_2x_6_52,663870,tensorrt,,15.26,,,,
SR_RFDN_2x_6_64,1002828,tensorrt,,17.76,,,,
SR_SRCNN_2x,20099,tensorrt,,143.76,,,,
SR_VDSR_2x_18_64,668227,tensorrt,,12.48,,,,
SR_EDSR_2_52,832055,tensorrt,,79.21,,,,
SR_EDSR_4_52,929607,tensorrt,,60.70,,,,
SR_FastEDSR_2_128,694231,tensorrt,,53.90,,,,
SR_FastEDSR_2_16,22343,tensorrt,,427.22,,,,
SR_FastEDSR_2_32,63031,tensorrt,,290.69,,,,
SR_FastEDSR_2_4,3923,tensorrt,,493.44,,,,
SR_FastEDSR_2_64,199703,tensorrt,,149.28,,,,
SR_FastEDSR_2_8,8911,tensorrt,,463.53,,,,
SR_FastEDSR_4_128,1284567,tensorrt,,28.56,,,,
