model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.1386,0.8607,28.6093,0.0241,144.87,70,330.71,98
SR_EDSR_2x_16_64,1369859,0.1021,0.8768,29.6978,0.0216,10.53,136,23.70,112
SR_EDSR_2x_1_128,1040131,0.1111,0.8709,29.3034,0.0225,13.33,150,30.68,114
SR_EDSR_2x_1_256,4144643,0.1106,0.8714,29.3560,0.0224,,,,
SR_EDSR_2x_1_32,66499,0.1393,0.8648,28.8526,0.0236,,,,
SR_EDSR_2x_2_128,1335299,0.1054,0.8742,29.5011,0.0220,,,,
SR_EDSR_2x_2_256,5324803,0.1011,0.8749,29.5663,0.0218,,,,
SR_EDSR_2x_2_32,84995,0.1211,0.8675,29.1044,0.0230,106.25,70,243.76,98
SR_EDSR_2x_2_48,189699,0.1127,0.8704,29.2677,0.0225,,,,
SR_EDSR_2x_2_52,222355,0.1104,0.8706,29.2601,0.0226,,,,
SR_EDSR_2x_2_96,752643,0.1065,0.8729,29.4351,0.0221,17.63,138,39.73,102
SR_EDSR_2x_32_256_r,40729603,0.0940,0.8797,29.8802,0.0211,,,,
SR_EDSR_2x_4_256,7685123,0.0999,0.8775,29.7320,0.0215,,,,
SR_EDSR_2x_4_32,121987,0.1130,0.8697,29.2260,0.0227,,,,
SR_EDSR_2x_4_52,319907,0.1066,0.8724,29.4087,0.0222,,,,
SR_EDSR_2x_6_12,22899,0.1431,0.8549,28.5127,0.0245,,,,
SR_FastEDSR_2x_1_128,312588,0.1111,0.8707,29.3327,0.0225,,,,
SR_FastEDSR_2x_1_16,6828,0.1372,0.8623,28.7550,0.0238,,,,
SR_FastEDSR_2x_1_32,22860,0.1280,0.8663,28.9862,0.0232,,,,
SR_FastEDSR_2x_1_4,852,0.1352,0.8564,28.5327,0.0244,,,,
SR_FastEDSR_2x_1_64,82572,0.1156,0.8692,29.2330,0.0227,,,,
SR_FastEDSR_2x_1_8,2268,0.1403,0.8598,28.6239,0.0241,,,,
SR_FastEDSR_2x_2_128,607756,0.1014,0.8740,29.5070,0.0220,,,,
SR_FastEDSR_2x_2_16,11468,0.1339,0.8643,28.8660,0.0235,,,,
SR_FastEDSR_2x_2_32,41356,0.1150,0.8693,29.2070,0.0227,,,,
SR_FastEDSR_2x_2_4,1148,0.1419,0.8578,28.5904,0.0242,,,,
SR_FastEDSR_2x_2_64,156428,0.1070,0.8721,29.3685,0.0223,,,,
SR_FastEDSR_2x_2_8,3436,0.1367,0.8625,28.7765,0.0237,,,,
SR_FastEDSR_2x_4_128,1198092,0.1011,0.8766,29.6778,0.0215,,,,
SR_FastEDSR_2x_4_16,20748,0.1189,0.8681,29.1354,0.0229,,,,
SR_FastEDSR_2x_4_32,78348,0.1085,0.8714,29.3355,0.0224,,,,
SR_FastEDSR_2x_4_64,304140,0.1027,0.8742,29.5099,0.0219,,,,
SR_FastEDSR_2x_4_8,5772,0.1263,0.8660,29.0277,0.0231,,,,
