model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.3674,0.6520,24.1872,0.0437,,,,
SR_EDSR_2x_16_64,1369859,0.3369,0.6506,24.0907,0.0438,,,,
SR_EDSR_2x_1_128,1040131,0.3402,0.6527,24.1653,0.0436,,,,
SR_EDSR_2x_1_256,4144643,0.3401,0.6527,24.1651,0.0436,,,,
SR_EDSR_2x_1_32,66499,0.3653,0.6526,24.2155,0.0435,,,,
SR_EDSR_2x_2_128,1335299,0.3370,0.6519,24.1288,0.0437,,,,
SR_EDSR_2x_2_256,5324803,0.3316,0.6514,24.0947,0.0437,,,,
SR_EDSR_2x_2_32,84995,0.3477,0.6534,24.2094,0.0435,,,,
SR_EDSR_2x_2_48,189699,0.3406,0.6532,24.1896,0.0435,,,,
SR_EDSR_2x_2_52,222355,0.3376,0.6528,24.1724,0.0436,,,,
SR_EDSR_2x_2_96,752643,0.3368,0.6524,24.1480,0.0436,,,,
SR_EDSR_2x_32_256_r,40729603,0.3326,0.6492,24.0418,0.0439,,,,
SR_EDSR_2x_4_256,7685123,0.3362,0.6511,24.0929,0.0438,,,,
SR_EDSR_2x_4_32,121987,0.3411,0.6531,24.1875,0.0436,,,,
SR_EDSR_2x_4_52,319907,0.3353,0.6524,24.1481,0.0436,,,,
SR_EDSR_2x_6_12,22899,0.3706,0.6518,24.1972,0.0437,,,,
SR_FastEDSR_2x_1_128,312588,0.3409,0.6534,24.1885,0.0435,,,,
SR_FastEDSR_2x_1_16,6828,0.3640,0.6527,24.2091,0.0436,,,,
SR_FastEDSR_2x_1_32,22860,0.3548,0.6528,24.2140,0.0435,,,,
SR_FastEDSR_2x_1_4,852,0.3645,0.6533,24.2158,0.0435,,,,
SR_FastEDSR_2x_1_64,82572,0.3439,0.6536,24.2116,0.0434,,,,
SR_FastEDSR_2x_1_8,2268,0.3680,0.6525,24.1992,0.0436,,,,
SR_FastEDSR_2x_2_128,607756,0.3322,0.6517,24.1137,0.0437,,,,
SR_FastEDSR_2x_2_16,11468,0.3616,0.6525,24.2093,0.0436,,,,
SR_FastEDSR_2x_2_32,41356,0.3431,0.6534,24.1977,0.0435,,,,
SR_FastEDSR_2x_2_4,1148,0.3687,0.6531,24.2133,0.0435,,,,
SR_FastEDSR_2x_2_64,156428,0.3371,0.6528,24.1566,0.0436,,,,
SR_FastEDSR_2x_2_8,3436,0.3646,0.6526,24.2124,0.0436,,,,
SR_FastEDSR_2x_4_128,1198092,0.3356,0.6513,24.1040,0.0437,,,,
SR_FastEDSR_2x_4_16,20748,0.3464,0.6534,24.2044,0.0435,,,,
SR_FastEDSR_2x_4_32,78348,0.3386,0.6530,24.1775,0.0435,,,,
SR_FastEDSR_2x_4_64,304140,0.3323,0.6514,24.1117,0.0437,,,,
SR_FastEDSR_2x_4_8,5772,0.3525,0.6534,24.2186,0.0435,,,,
SR_FastEDSR_2x_8_16,39308,0.3378,0.6530,24.1734,0.0435,,,,
SR_IMDN_2x_1_128,596916,0.3351,0.6522,24.1337,0.0436,,,,
SR_IMDN_2x_1_256,2350940,0.3369,0.6516,24.1171,0.0437,,,,
SR_IMDN_2x_1_48,88251,0.3567,0.6530,24.2188,0.0435,,,,
SR_IMDN_2x_1_64,153824,0.3384,0.6531,24.1880,0.0435,,,,
SR_IMDN_2x_1_96,339210,0.3338,0.6522,24.1431,0.0436,,,,
SR_IMDN_2x_2_128,1028700,0.3329,0.6513,24.1150,0.0437,,,,
SR_IMDN_2x_2_48,149130,0.3445,0.6532,24.1987,0.0435,,,,
SR_IMDN_2x_2_96,582216,0.3330,0.6516,24.1278,0.0437,,,,
SR_IMDN_2x_4_16,31808,0.3669,0.6516,24.1940,0.0437,,,,
SR_IMDN_2x_4_256,7528268,0.3351,0.6503,24.0813,0.0438,,,,
SR_IMDN_2x_4_52,317120,0.3390,0.6528,24.1678,0.0436,,,,
SR_IMDN_2x_5_16,38629,0.3683,0.6520,24.1999,0.0436,,,,
SR_IMDN_2x_6_64,694404,0.3330,0.6516,24.1242,0.0437,,,,
SR_RFDN_2x_1_128,802124,0.3315,0.6508,24.0952,0.0437,,,,
SR_RFDN_2x_1_256,3170956,0.3271,0.6501,24.0679,0.0438,,,,
SR_RFDN_2x_1_4,1363,0.3398,0.6508,24.1533,0.0437,,,,
SR_RFDN_2x_1_48,117204,0.3407,0.6534,24.1889,0.0435,,,,
SR_RFDN_2x_1_64,205228,0.3393,0.6531,24.1763,0.0435,,,,
SR_RFDN_2x_1_96,454716,0.3392,0.6521,24.1404,0.0436,,,,
SR_RFDN_2x_2_128,1439116,0.3277,0.6499,24.0715,0.0438,,,,
SR_RFDN_2x_2_16,24668,0.3686,0.6524,24.2071,0.0436,,,,
SR_RFDN_2x_2_256,5716748,0.3256,0.6483,24.0254,0.0440,,,,
SR_RFDN_2x_2_256_GAN,5716748,0.3121,0.6341,23.7427,0.0453,,,,
SR_RFDN_2x_2_48,207036,0.3387,0.6529,24.1800,0.0436,,,,
SR_RFDN_2x_2_52,242306,0.3400,0.6526,24.1603,0.0436,,,,
SR_RFDN_2x_2_64,364748,0.3383,0.6522,24.1419,0.0436,,,,
SR_RFDN_2x_2_96,813228,0.3311,0.6510,24.0960,0.0438,,,,
SR_RFDN_2x_4_128,2713100,0.3287,0.6493,24.0566,0.0439,,,,
SR_RFDN_2x_4_16,44812,0.3661,0.6520,24.1991,0.0437,,,,
SR_RFDN_2x_4_256,10808332,0.3303,0.6488,24.0401,0.0440,,,,
SR_RFDN_2x_4_48,386700,0.3357,0.6518,24.1395,0.0437,,,,
SR_RFDN_2x_4_52,453088,0.3332,0.6517,24.1281,0.0437,,,,
SR_RFDN_2x_4_96,1530252,0.3325,0.6504,24.0909,0.0438,,,,
SR_RFDN_2x_6_48,566364,0.3352,0.6520,24.1368,0.0437,,,,
SR_RFDN_2x_6_52,663870,0.3328,0.6515,24.1185,0.0437,,,,
SR_RFDN_2x_6_64,1002828,0.3324,0.6511,24.1007,0.0437,,,,
SR_SRCNN_2x,20099,0.3577,0.6555,24.2600,0.0433,,,,
SR_VDSR_2x_18_64,668227,0.3338,0.6522,24.1210,0.0436,,,,
SR_EDSR_2_52,832055,0.3367,0.6524,24.1716,0.0436,,,,
SR_EDSR_4_52,929607,0.3326,0.6512,24.1277,0.0437,,,,
SR_FastEDSR_2_128,694231,0.3323,0.6513,24.1190,0.0437,,,,
SR_FastEDSR_2_16,22343,0.3567,0.6525,24.2123,0.0435,,,,
SR_FastEDSR_2_32,63031,0.3391,0.6525,24.1801,0.0436,,,,
SR_FastEDSR_2_4,3923,0.3685,0.6526,24.2067,0.0436,,,,
SR_FastEDSR_2_64,199703,0.3334,0.6518,24.1431,0.0436,,,,
SR_FastEDSR_2_8,8911,0.3687,0.6517,24.1907,0.0437,,,,
SR_FastEDSR_4_128,1284567,0.3350,0.6505,24.0996,0.0437,,,,
SR_FastEDSR_4_16,31623,0.3412,0.6525,24.1864,0.0436,,,,
SR_FastEDSR_4_32,100023,0.3339,0.6514,24.1414,0.0437,,,,
SR_FastEDSR_4_64,347415,0.3308,0.6507,24.1040,0.0437,,,,
SR_FastEDSR_4_8,11247,0.3603,0.6530,24.2137,0.0435,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.3334,0.6789,24.5967,0.0411,,,,
SR_FastEDSR_jpeg_2_64,199703,0.3328,0.6929,25.0739,0.0388,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.3593,0.6734,24.5181,0.0417,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.3268,0.7057,25.4049,0.0369,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.3205,0.7058,25.1934,0.0375,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.3246,0.7068,25.4488,0.0367,,,,
