model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.1740,0.8584,26.4297,0.0309,,,,
SR_EDSR_2x_16_64,1369859,0.0824,0.9058,29.3254,0.0223,,,,
SR_EDSR_2x_1_128,1040131,0.1169,0.8834,27.8270,0.0264,,,,
SR_EDSR_2x_1_256,4144643,0.1156,0.8849,27.9477,0.0260,,,,
SR_EDSR_2x_1_32,66499,0.1686,0.8640,26.7361,0.0299,,,,
SR_EDSR_2x_2_128,1335299,0.0977,0.8956,28.5922,0.0242,,,,
SR_EDSR_2x_2_256,5324803,0.0897,0.8989,28.8316,0.0236,,,,
SR_EDSR_2x_2_32,84995,0.1364,0.8731,27.2304,0.0284,,,,
SR_EDSR_2x_2_48,189699,0.1202,0.8819,27.7095,0.0268,,,,
SR_EDSR_2x_2_52,222355,0.1167,0.8830,27.7709,0.0267,,,,
SR_EDSR_2x_2_96,752643,0.1014,0.8921,28.3582,0.0248,,,,
SR_EDSR_2x_32_256_r,40729603,0.0690,0.9133,29.9409,0.0209,,,,
SR_EDSR_2x_4_256,7685123,0.0815,0.9065,29.3687,0.0223,,,,
SR_EDSR_2x_4_32,121987,0.1215,0.8810,27.6531,0.0270,,,,
SR_EDSR_2x_4_52,319907,0.1035,0.8906,28.2452,0.0252,,,,
SR_EDSR_2x_6_12,22899,0.1792,0.8547,26.3839,0.0312,,,,
SR_FastEDSR_2x_1_128,312588,0.1178,0.8828,27.7871,0.0265,,,,
SR_FastEDSR_2x_1_16,6828,0.1691,0.8607,26.5800,0.0304,,,,
SR_FastEDSR_2x_1_32,22860,0.1515,0.8674,26.9100,0.0292,,,,
SR_FastEDSR_2x_1_4,852,0.1693,0.8553,26.3282,0.0312,,,,
SR_FastEDSR_2x_1_64,82572,0.1270,0.8776,27.4695,0.0275,,,,
SR_FastEDSR_2x_1_8,2268,0.1752,0.8582,26.4408,0.0308,,,,
SR_FastEDSR_2x_2_128,607756,0.0933,0.8961,28.6255,0.0241,,,,
SR_FastEDSR_2x_2_16,11468,0.1639,0.8643,26.7529,0.0298,,,,
SR_FastEDSR_2x_2_32,41356,0.1259,0.8786,27.5126,0.0273,,,,
SR_FastEDSR_2x_2_4,1148,0.1769,0.8564,26.4017,0.0310,,,,
SR_FastEDSR_2x_2_64,156428,0.1059,0.8889,28.1233,0.0254,,,,
SR_FastEDSR_2x_2_8,3436,0.1675,0.8612,26.6113,0.0303,,,,
SR_FastEDSR_2x_4_128,1198092,0.0840,0.9040,29.1836,0.0226,,,,
SR_FastEDSR_2x_4_16,20748,0.1327,0.8761,27.3662,0.0278,,,,
SR_FastEDSR_2x_4_32,78348,0.1095,0.8867,28.0032,0.0259,,,,
SR_FastEDSR_2x_4_64,304140,0.0922,0.8974,28.6993,0.0239,,,,
SR_FastEDSR_2x_4_8,5772,0.1466,0.8702,27.0809,0.0287,,,,
SR_FastEDSR_2x_8_16,39308,0.1128,0.8842,27.8598,0.0263,,,,
SR_IMDN_2x_1_128,596916,0.0939,0.8971,28.6880,0.0239,,,,
SR_IMDN_2x_1_256,2350940,0.0794,0.9049,29.2264,0.0225,,,,
SR_IMDN_2x_1_48,88251,0.1535,0.8669,26.9109,0.0293,,,,
SR_IMDN_2x_1_64,153824,0.1154,0.8815,27.6719,0.0269,,,,
SR_IMDN_2x_1_96,339210,0.0982,0.8922,28.3254,0.0249,,,,
SR_IMDN_2x_2_128,1028700,0.0855,0.9009,28.9453,0.0232,,,,
SR_IMDN_2x_2_48,149130,0.1264,0.8768,27.4093,0.0277,,,,
SR_IMDN_2x_2_96,582216,0.0922,0.8966,28.6273,0.0240,,,,
SR_IMDN_2x_4_16,31808,0.1715,0.8540,26.3085,0.0313,,,,
SR_IMDN_2x_4_256,7528268,0.0705,0.9113,29.7776,0.0212,,,,
SR_IMDN_2x_4_52,317120,0.1068,0.8866,27.9536,0.0259,,,,
SR_IMDN_2x_5_16,38629,0.1748,0.8537,26.3193,0.0313,,,,
SR_IMDN_2x_6_64,694404,0.0933,0.8950,28.5192,0.0244,,,,
SR_RFDN_2x_1_128,802124,0.0851,0.8996,28.8444,0.0235,,,,
SR_RFDN_2x_1_256,3170956,0.0791,0.9055,29.3050,0.0223,,,,
SR_RFDN_2x_1_4,1363,0.1360,0.8285,25.4235,0.0339,,,,
SR_RFDN_2x_1_48,117204,0.1176,0.8795,27.5500,0.0272,,,,
SR_RFDN_2x_1_64,205228,0.1061,0.8867,27.9817,0.0259,,,,
SR_RFDN_2x_1_96,454716,0.0946,0.8946,28.4946,0.0244,,,,
SR_RFDN_2x_2_128,1439116,0.0794,0.9046,29.2196,0.0226,,,,
SR_RFDN_2x_2_16,24668,0.1745,0.8551,26.3919,0.0310,,,,
SR_RFDN_2x_2_256,5716748,0.0715,0.9108,29.7250,0.0214,,,,
SR_RFDN_2x_2_256_GAN,5716748,0.0390,0.8830,28.2825,0.0259,,,,
SR_RFDN_2x_2_48,207036,0.1069,0.8853,27.8981,0.0262,,,,
SR_RFDN_2x_2_52,242306,0.1067,0.8867,27.9643,0.0259,,,,
SR_RFDN_2x_2_64,364748,0.1005,0.8923,28.3411,0.0249,,,,
