model_name,params,runtype,480p decode,480p sr,480p e2e,480p full
SR_EDSR_2_52,832055,onnxruntime-directml,1790.11,88.06,82.77,71.35
SR_EDSR_4_52,929607,onnxruntime-directml,1446.03,62.95,60.82,54.70
SR_FastEDSR_2_4,3923,onnxruntime-directml,1633.69,488.65,385.82,240.15
SR_FastEDSR_2_8,8911,onnxruntime-directml,1719.62,476.77,376.65,237.49
SR_FastEDSR_2_16,22343,onnxruntime-directml,1687.14,458.10,363.54,232.88
SR_FastEDSR_2_32,63031,onnxruntime-directml,1700.47,363.03,296.10,202.45
SR_FastEDSR_2_64,199703,onnxruntime-directml,1404.18,220.51,195.85,148.90
SR_FastEDSR_2_128,694231,onnxruntime-directml,1331.86,115.91,106.25,86.98
SR_FastEDSR_4_8,11247,onnxruntime-directml,1575.23,417.30,235.37,222.24
SR_FastEDSR_4_16,31623,onnxruntime-directml,1694.84,413.32,333.86,220.81
SR_FastEDSR_4_32,100023,onnxruntime-directml,1683.78,287.33,248.73,178.44
SR_FastEDSR_jpeg_4_48,205287,onnxruntime-directml,1615.00,174.29,158.76,127.00
SR_FastEDSR_4_64,347415,onnxruntime-directml,1424.82,147.99,136.71,112.40
SR_FastEDSR_4_128,1284567,onnxruntime-directml,1392.02,70.10,67.13,60.88
SR_FastEDSR_4_256,4928343,onnxruntime-directml,1518.67,23.72,22.82,22.65
SR_FastEDSR_jpeg_6_32,137015,onnxruntime-directml,1737.76,237.33,209.70,156.86
SR_FastEDSR_6_256,7288663,onnxruntime-directml,1462.26,15.88,16.03,15.58
SR_IMDN_2_48,181605,onnxruntime-directml,1828.85,90.39,86.03,72.48
SR_IMDN_2_96,647091,onnxruntime-directml,1546.49,46.89,45.82,42.37
SR_RFDN_1_128,888599,onnxruntime-directml,1450.45,64.87,69.51,62.70
SR_RFDN_2_48,239511,onnxruntime-directml,1743.79,84.60,80.17,71.35
SR_RFDN_2_96,878103,onnxruntime-directml,1560.00,48.08,49.04,46.09
SR_RFDN_jpeg_2_128,1525591,onnxruntime-directml,1659.53,40.71,39.83,37.71
SR_RFDN_jpeg_2_256,5889623,onnxruntime-directml,1814.81,16.10,15.87,15.48
SR_RFDN_4_16,55687,onnxruntime-directml,1826.20,180.17,162.10,104.89
SR_RFDN_4_48,419175,onnxruntime-directml,1796.41,47.23,44.02,40.20
SR_RFDN_4_128,2799575,onnxruntime-directml,1785.83,23.28,22.81,22.02
SR_RFDN_4_256,10981207,onnxruntime-directml,1846.01,8.58,8.49,8.38
SR_EDSR_2x_0_32,48003,onnxruntime-directml,1028.04,268.22,230.45,169.88
SR_EDSR_2x_1_32,66499,onnxruntime-directml,1377.14,243.44,212.20,159.94
SR_EDSR_2x_1_128,1040131,onnxruntime-directml,1617.58,66.10,63.44,57.60
SR_EDSR_2x_1_256,4144643,onnxruntime-directml,1603.49,22.91,22.84,22.23
SR_EDSR_2x_2_32,84995,onnxruntime-directml,1480.34,223.06,193.17,125.69
SR_EDSR_2x_2_48,189699,onnxruntime-directml,1437.63,145.31,131.17,108.56
SR_EDSR_2x_2_52,222355,onnxruntime-directml,1392.27,87.27,82.17,72.62
SR_EDSR_2x_2_96,752643,onnxruntime-directml,1444.35,70.23,66.79,56.01
SR_EDSR_2x_2_128,1335299,onnxruntime-directml,1274.94,54.57,52.75,48.74
SR_EDSR_2x_2_256,5324803,onnxruntime-directml,1679.65,18.78,18.79,18.17
SR_EDSR_2x_4_32,121987,onnxruntime-directml,1417.13,192.10,160.30,132.83
SR_EDSR_2x_4_52,319907,onnxruntime-directml,1456.98,62.88,60.18,54.45
SR_EDSR_2x_4_256,7685123,onnxruntime-directml,1328.12,13.78,13.64,13.41
