model_name,params,runtype,480p decode,480p sr,480p display,480p total
SR_EDSR_2_52,832055,onnxruntime-directml,0.72,11.39,1.62,13.73
SR_EDSR_4_52,929607,onnxruntime-directml,0.84,15.88,1.78,18.50
SR_FastEDSR_2_4,3923,onnxruntime-directml,0.66,2.00,1.49,4.14
SR_FastEDSR_2_8,8911,onnxruntime-directml,0.65,2.08,1.47,4.20
SR_FastEDSR_2_16,22343,onnxruntime-directml,0.68,2.37,1.57,4.61
SR_FastEDSR_2_32,63031,onnxruntime-directml,0.65,2.68,1.47,4.80
SR_FastEDSR_2_64,199703,onnxruntime-directml,0.65,4.36,1.48,6.49
SR_FastEDSR_2_128,694231,onnxruntime-directml,0.67,8.21,1.51,10.39
SR_FastEDSR_4_8,11247,onnxruntime-directml,0.77,2.32,1.57,4.66
SR_FastEDSR_4_16,31623,onnxruntime-directml,0.76,2.42,1.51,4.69
SR_FastEDSR_4_32,100023,onnxruntime-directml,0.81,3.52,1.63,5.96
SR_FastEDSR_4_64,347415,onnxruntime-directml,0.67,6.65,1.49,8.82
SR_FastEDSR_4_128,1284567,onnxruntime-directml,0.67,14.28,1.56,16.52
SR_FastEDSR_4_256,4928343,onnxruntime-directml,0.68,42.25,1.60,44.53
SR_FastEDSR_jpeg_6_32,137015,onnxruntime-directml,0.70,4.32,1.70,6.72
SR_IMDN_2_48,181605,onnxruntime-directml,0.67,10.89,1.52,13.07
SR_IMDN_2_96,647091,onnxruntime-directml,0.67,21.40,1.56,23.63
SR_RFDN_1_128,888599,onnxruntime-directml,0.75,13.97,1.67,16.40
SR_RFDN_2_48,239511,onnxruntime-directml,0.70,11.69,1.52,13.91
SR_RFDN_jpeg_2_128,1525591,onnxruntime-directml,0.70,23.55,1.73,25.97
SR_RFDN_jpeg_2_256,5889623,onnxruntime-directml,0.68,62.64,1.59,64.91
SR_RFDN_4_48,419175,onnxruntime-directml,0.69,21.04,1.72,23.45
