model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_2_64,199703,0.4855,0.6815,25.1153,0.0379,,,,
SR_FastEDSR_4_64,347415,0.4748,0.6815,25.1085,0.0379,,,,
SR_FastEDSR_4_128,1284567,0.4723,0.6820,25.1173,0.0378,,,,
SR_FastEDSR_4_256,4928343,0.4752,0.6825,25.1267,0.0378,,,,
SR_RFDN_4_128,2799575,0.4886,0.6824,25.1445,0.0378,,,,
SR_FastEDSR_jpeg_2_64,199703,0.4536,0.7029,25.5864,0.0349,,,,
SR_FastEDSR_jpeg_4_64,347415,0.4379,0.7095,25.7463,0.0341,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.4264,0.7148,25.8940,0.0334,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.4220,0.7171,25.9647,0.0332,,,,
SR_RFDN_jpeg_4_128,2799575,0.4580,0.6991,25.5210,0.0354,,,,
nearest,0,0.5326,0.6335,24.0085,0.0414,,,,
bilinear,0,0.5718,0.6729,24.7240,0.0388,,,,
bicubic,0,0.5659,0.6783,24.9412,0.0381,,,,
lanczos,0,0.5625,0.6794,25.0034,0.0380,,,,
SR_FastEDSR_4_32,100023,0.4886,0.6811,25.1120,0.0379,,,,
SR_FastEDSR_jpeg_4_32,100023,0.4570,0.7021,25.5784,0.0349,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.4461,0.7040,25.5705,0.0349,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.4258,0.7109,25.7173,0.0341,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.4172,0.7156,25.8436,0.0335,,,,
