model_name,params,runtype,720p,480p,720p (128x128),480p (128x128),720p (256x256),480p (256x256)
SR_EDSR_4x_6_12,38595,tensorrt,95.50,211.29,20.00,40.31,63.09,132.81
SR_EDSR_4x_2_48,439107,tensorrt,39.69,86.72,27.14,53.46,29.02,64.09
SR_EDSR_4x_4_48,522243,tensorrt,34.07,65.03,22.89,44.67,24.46,55.92
SR_EDSR_4x_2_64,779011,tensorrt,29.72,67.33,21.41,45.54,23.69,52.60
SR_RFDN_4x_2_48,222624,tensorrt,40.38,88.92,13.34,28.06,32.91,73.30
SR_RFDN_4x_4_48,402288,tensorrt,23.52,54.05,8.63,17.63,22.55,49.81
SR_RFDN_4x_6_48,581952,tensorrt,16.70,38.37,6.28,12.75,16.52,36.95
SR_RFDN_4x_6_52,680754,tensorrt,12.56,29.12,5.73,11.73,13.37,29.97
SR_RFDN_4x_1_128,843632,tensorrt,33.16,73.52,20.05,42.35,27.83,61.60
SR_RFDN_4x_2_128,1480624,tensorrt,19.06,43.15,13.17,25.99,17.37,38.62
SR_IMDN_4x_2_48,164718,tensorrt,49.94,109.59,16.20,32.90,43.26,93.48
SR_IMDN_4x_4_48,286476,tensorrt,30.40,66.31,11.81,23.37,26.91,60.08
SR_IMDN_4x_6_64,715176,tensorrt,19.82,43.99,9.13,18.46,19.07,43.27
SR_FastEDSR_4x_1_4,2184,tensorrt,153.28,321.66,26.82,57.19,77.14,160.80
SR_FastEDSR_4x_1_8,4896,tensorrt,153.89,298.49,27.27,52.42,77.42,166.28
SR_FastEDSR_4x_1_16,12048,tensorrt,154.50,268.81,29.86,58.72,71.24,155.38
SR_FastEDSR_4x_1_32,33264,tensorrt,116.48,295.77,31.09,54.47,73.38,155.45
SR_FastEDSR_4x_1_64,103344,tensorrt,113.13,247.45,30.63,57.70,76.38,160.28
SR_FastEDSR_4x_1_128,354096,tensorrt,78.66,167.91,30.81,59.15,55.84,121.21
SR_FastEDSR_4x_2_4,2480,tensorrt,153.28,317.89,28.84,55.17,78.22,159.47
SR_FastEDSR_4x_2_8,6064,tensorrt,154.10,315.02,29.55,55.52,74.11,159.24
SR_FastEDSR_4x_2_16,16688,tensorrt,146.72,312.49,28.86,54.43,74.36,157.56
SR_FastEDSR_4x_2_32,51760,tensorrt,128.57,274.51,28.66,57.27,72.88,157.27
SR_FastEDSR_4x_2_64,177200,tensorrt,96.02,205.40,29.56,56.24,64.79,139.72
SR_FastEDSR_4x_2_128,649264,tensorrt,57.82,120.03,29.96,59.76,40.94,90.17
SR_FastEDSR_4x_4_8,8400,tensorrt,141.07,288.97,26.49,52.97,66.85,138.85
SR_FastEDSR_4x_4_16,25968,tensorrt,129.08,264.62,24.21,46.50,67.79,146.49
SR_FastEDSR_4x_4_32,88752,tensorrt,114.69,234.73,23.26,51.10,68.62,145.03
SR_FastEDSR_4x_4_64,324912,tensorrt,72.40,154.80,26.70,49.33,50.50,112.06
SR_FastEDSR_4x_4_128,1239600,tensorrt,36.99,80.50,22.73,48.30,26.76,59.34
SR_FastEDSR_4x_8_16,44528,tensorrt,120.21,260.46,21.76,40.53,62.75,137.71
