model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_4x_2_48,439107,0.2426,0.8226,28.4073,0.0247,,,,
SR_EDSR_4x_2_64,779011,0.2284,0.8277,28.5736,0.0241,,,,
SR_EDSR_4x_4_48,522243,0.2289,0.8287,28.6242,0.0240,,,,
SR_EDSR_4x_6_12,38595,0.3012,0.7829,27.2921,0.0293,,,,
SR_ESRGAN_4x_23_64_32,16697987,0.2290,0.8167,28.2942,0.0254,,,,
SR_ESRGAN_4x_23_64_32_GAN,16697987,0.1664,0.7390,25.1090,0.0433,,,,
SR_FastEDSR_4x_1_128,354096,0.2253,0.8264,28.5222,0.0241,,,,
SR_FastEDSR_4x_1_16,12048,0.2916,0.7987,27.6824,0.0276,,,,
SR_FastEDSR_4x_1_32,33264,0.2691,0.8090,27.9887,0.0263,,,,
SR_FastEDSR_4x_1_4,2184,0.3088,0.7890,27.3764,0.0288,,,,
SR_FastEDSR_4x_1_64,103344,0.2435,0.8193,28.2839,0.0251,,,,
SR_FastEDSR_4x_1_8,4896,0.3053,0.7918,27.4723,0.0285,,,,
SR_FastEDSR_4x_2_128,649264,0.1963,0.8398,29.0342,0.0223,,,,
SR_FastEDSR_4x_2_16,16688,0.2821,0.8070,27.8886,0.0266,,,,
SR_FastEDSR_4x_2_32,51760,0.2448,0.8201,28.2993,0.0250,,,,
SR_FastEDSR_4x_2_4,2480,0.3148,0.7897,27.3984,0.0288,,,,
SR_FastEDSR_4x_2_64,177200,0.2218,0.8303,28.6526,0.0237,,,,
SR_FastEDSR_4x_2_8,6064,0.2919,0.7993,27.6792,0.0276,,,,
SR_FastEDSR_4x_4_128,1239600,0.1880,0.8481,29.4271,0.0211,,,,
SR_FastEDSR_4x_4_128_GAN,1239600,0.1102,0.7718,27.0936,0.0295,,,,
SR_FastEDSR_4x_4_16,25968,0.2527,0.8176,28.2173,0.0253,,,,
SR_FastEDSR_4x_4_32,88752,0.2306,0.8277,28.5730,0.0241,,,,
SR_FastEDSR_4x_4_64,324912,0.1986,0.8403,29.0714,0.0223,,,,
SR_FastEDSR_4x_4_64_GAN,324912,0.1320,0.7522,26.7213,0.0318,,,,
SR_FastEDSR_4x_4_8,8400,0.2711,0.8073,27.9115,0.0266,,,,
SR_FastEDSR_4x_8_16,44528,0.2370,0.8241,28.4554,0.0245,,,,
SR_IMDN_4x_2_48,164718,0.2807,0.8065,27.9156,0.0267,,,,
SR_IMDN_4x_4_48,286476,0.2577,0.8159,28.2051,0.0256,,,,
SR_IMDN_4x_6_64,715176,0.2347,0.8303,28.6685,0.0238,,,,
SR_RFDN_4x_1_128,843632,0.1662,0.8362,28.9434,0.0226,,,,
SR_RFDN_4x_2_128,1480624,0.1652,0.8416,29.1727,0.0219,,,,
SR_RFDN_4x_2_48,222624,0.2938,0.7898,27.4325,0.0289,,,,
SR_RFDN_4x_4_48,402288,0.2582,0.7944,27.7316,0.0281,,,,
SR_RFDN_4x_4_48_GAN,402288,0.1864,0.7185,23.5851,0.0509,,,,
SR_RFDN_4x_6_48,581952,0.2763,0.7833,27.4622,0.0289,,,,
SR_RFDN_4x_6_52,680754,0.2170,0.8048,28.0734,0.0266,,,,
SR_EDSR_2_52,832055,0.2322,0.8276,28.5765,0.0241,,,,
SR_EDSR_4_52,929607,0.2128,0.8366,28.9384,0.0229,,,,
SR_FastEDSR_2_128,694231,0.1989,0.8416,29.1227,0.0220,,,,
SR_FastEDSR_2_16,22343,0.2920,0.8021,27.8112,0.0272,,,,
SR_FastEDSR_2_32,63031,0.2467,0.8212,28.3399,0.0250,,,,
SR_FastEDSR_2_4,3923,0.3158,0.7892,27.3770,0.0288,,,,
SR_FastEDSR_2_64,199703,0.2156,0.8341,28.8131,0.0232,,,,
SR_FastEDSR_2_8,8911,0.3067,0.7925,27.5018,0.0284,,,,
